Date,Returns,Volatility
2023-01-01,0.0,0.008944271909999163
2023-01-02,0.005121336087433081,0.00860232526704263
2023-01-03,0.012037710629717237,0.008397106892616187
2023-01-04,0.007764247871931901,0.008582216915987277
2023-01-05,0.0005117607694354973,0.008481611580665935
2023-01-06,-0.0054870664657463,0.008219688738540279
2023-01-07,0.0057391783078959025,0.008189103504458865
2023-01-08,0.003222292548710597,0.008080596596036924
2023-01-09,0.007233695286551426,0.007921867932614164
2023-01-10,0.005031747127445157,0.007925976949774602
2023-01-11,0.008318730629194396,0.007843647904158771
2023-01-12,-0.004198196545389025,0.007916963680577692
2023-01-13,0.01042976097063554,0.007867981733522305
2023-01-14,0.0015547100802710287,0.008059969289176116
2023-01-15,0.016726538900388468,0.007879805843144521
2023-01-16,-0.005430666196006201,0.0085826526948161
2023-01-17,0.014899174413339433,0.008478133954893123
2023-01-18,0.0016779141333141748,0.008865792361410501
2023-01-19,-0.005775336760530254,0.008545325572993378
2023-01-20,-0.004134961992153624,0.008470745114127617
2023-01-21,-0.0027135803957109715,0.008313399382831852
2023-01-22,0.0035262609170359804,0.008125665467835476
2023-01-23,0.004248386270488967,0.00796510371802464
2023-01-24,-0.004569580034401926,0.007852180658025891
2023-01-25,-0.00019123665828579652,0.00783667653014345
2023-01-26,0.016788279840555587,0.007689893131664978
2023-01-27,0.013284622358412204,0.008449845093336494
2023-01-28,0.003686867419301693,0.008714583480659734
2023-01-29,0.00033118448305221107,0.00845191231387817
2023-01-30,0.0010144942483412067,0.008194714245614614
2023-01-31,0.005027604471074544,0.007985870846865679
2023-02-01,-0.008167889328808912,0.007891967237776255
2023-02-02,-0.002031207201117334,0.0081546280794696
2023-02-03,-0.013606682541797968,0.007975647156247972
2023-02-04,0.0031840627625152307,0.008910832678717518
2023-02-05,0.005767054729036478,0.008604026034727106
2023-02-06,-0.004157348901251501,0.008419403614116298
2023-02-07,0.013252029843415317,0.008272692473589803
2023-02-08,-0.010140382374704283,0.008575008300789569
2023-02-09,-0.012557026753266939,0.008894231240383249
2023-02-10,0.001996326376596936,0.009436830589459242
2023-02-11,0.00988128929226123,0.009024537839103881
